"rank","name","year","rating","genre","certificate","run_time","tagline","budget","box_office","casts","directors","writers"
"128","The Kid","1921","8.3","Comedy,Drama,Family","Approved","1.13","This is the great film he has been working on for a whole year","250000","41960","Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,Albert Austin,Beulah Bains,Nellie Bly Baker,Henry Bergman,Edward Biby,B.F. Blinn,Kitty Bradbury,Frank Campeau,Bliss Chevalier,Frances Cochran,Elsie Codd,Jack Coogan Sr.,Estelle Cook,Lillian Crane","Charles Chaplin","Charles Chaplin"
"195","Sherlock Jr.","1924","8.2","Action,Comedy,Romance","Approved","1.92","every inch of footage holds such a laugh!","0","0","Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,Ward Crane,Jane Connelly,George Davis,Doris Deane,Christine Francis,Betsy Ann Hisle,Kewpie Morgan,Steve Murphy,John Patrick,Ford West","Buster Keaton","Jean C. Havez,Joseph A. Mitchell,Clyde Bruckman"
"177","The Gold Rush","1925","8.1","Adventure,Comedy,Drama","Approved","1.63","""The Picture I Want to Be Remembered by."" -Charlie Chaplin. (Print Ad- Calgary Daily Herald, ((Calgary, Alta.)) 30 December 1925)","923000","29328","Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,Malcolm Waite,Georgia Hale,Jack Adams,Frank Aderias,Leona Aderias,Lillian Adrian,Sam Allen,Claude Anderson,Harry Arras,Albert Austin,Marta Belfort,William Bell,Francis Bernhardt,F.J. Beuaregard","Charles Chaplin","Charles Chaplin"
"187","The General","1926","8.1","Action,Adventure,Comedy","Approved","1.5","Buster drives ""The General"" to trainload of laughter. (Trade paper ad).","750000","750000","Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,Frederick Vroom,Frank Barnes,Charles Henry Smith,Joe Keaton,Mike Donlin,Tom Nawn,Henry Baird,Joe Bricher,Jimmy Bryant,Sergeant Bukowski,C.C. Cruson,Jack Dempster,Keith Fennell,Budd Fine","Clyde Bruckman,Buster Keaton","Buster Keaton,Clyde Bruckman,Al Boasberg"
"115","Metropolis","1927","8.3","Drama,Sci-Fi","Not Rated","2.28","Fritz Lang's 1927 Masterpiece Now With 25 Minutes of Lost Footage (2010 re-release)","6000000","1349711","Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,Fritz Rasp,Theodor Loos,Erwin Biswanger,Heinrich George,Fritz Alberti,Grete Berger,Olly Boeheim,Max Dietze,Ellen Frey,Beatrice Garga,Heinrich Gotho,Dolly Grey,Anny Hintze,Gottfried Huppertz","Fritz Lang","Thea von Harbou,Fritz Lang"
"208","The Passion of Joan of Arc","1928","8.2","Biography,Drama,History","Approved","1.52","JOAN of ARC PICTURES Inc. presents","0","0","Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,Antonin Artaud,Michel Simon,Jean d'Yd,Louis Ravet,Armand Lurville,Jacques Arnna,Alexandre Mihalesco,Léon Larive,Jean Aymé,Camille Bardou,Gilbert Dacheux,Gilbert Dalleu,Paul Delauzac,Dimitri Dimitriev","Carl Theodor Dreyer","Joseph Delteil,Carl Theodor Dreyer"
"96","M","1931","8.3","Crime,Mystery,Thriller","Approved","1.72","IT STAGGERS THE SENSES!...SHOCKS the Imagination - It will leave you Gasping - It is the Sensation of 3 Continents!","0","35566","Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,Theodor Loos,Gustaf Gründgens,Friedrich Gnaß,Fritz Odemar,Paul Kemp,Theo Lingen,Rudolf Blümner,Georg John,Franz Stein,Ernst Stahl-Nachbaur,Gerhard Bienert,Karl Platen,Rosa Valetti,Hertha von Walther","Fritz Lang","Thea von Harbou,Fritz Lang,Egon Jacobsohn"
"52","City Lights","1931","8.5","Comedy,Drama,Romance","G","2.68","HE RETURNS -And the world rocks again with laughter. (Print Ad-Daily Examiner, ((Grafton, NSW)) 6 July 1931)","1500000","50419","Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,Al Ernest Garcia,Hank Mann,Johnny Aber,Jack Alexander,T.S. Alexander,Victor Alexander,Albert Austin,Harry Ayers,Eddie Baker,Henry Bergman,Edward Biby,Betty Blair,Buster Brodie,Jeanne Carpenter","Charles Chaplin","Charles Chaplin,Harry Carr,Harry Crocker"
"242","It Happened One Night","1934","8.1","Comedy,Romance","Approved","2.2","Two great lovers of the screen in the grandest of romantic comedies !","325000","11477","Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas,Alan Hale,Arthur Hoyt,Blanche Friderici,Charles C. Wilson,Ernie Adams,Jessie Arnold,Irving Bacon,William Bailey,William Begg,William A. Boardway,Ward Bond,Harry C. Bradley,George P. Breakston","Frank Capra","Robert Riskin,Samuel Hopkins Adams"
"47","Modern Times","1936","8.5","Comedy,Drama,Romance","G","2.6","He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!","1500000","463618","Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin,Hank Mann,Stanley Blystone,Al Ernest Garcia,Richard Alexander,Cecil Reynolds,Mira McKinney,Murdock MacQuarrie,Wilfred Lucas,Edward LeSaint,Fred Malatesta,Sammy Stein,Juana Sutton,Ted Oliver","Charles Chaplin","Charles Chaplin"
